編號,樣本ID,完整檔名,檔案大小(MB)
1337,SRR13256639,SRR13256639_2.fastq,353.22
1338,SRR13256640,SRR13256640_1.fastq,184.64
1339,SRR13256640,SRR13256640_2.fastq,238.92
1340,SRR13256641,SRR13256641_1.fastq,241.59
1341,SRR13256641,SRR13256641_2.fastq,329.2
1342,SRR13256642,SRR13256642_1.fastq,180.84
1343,SRR13256642,SRR13256642_2.fastq,233.41
1344,SRR13256643,SRR13256643_1.fastq,189.46
1345,SRR13256643,SRR13256643_2.fastq,242.49
1346,SRR13256644,SRR13256644_1.fastq,173.74
1347,SRR13256644,SRR13256644_2.fastq,229.26
1348,SRR13256645,SRR13256645_1.fastq,176.92
1349,SRR13256645,SRR13256645_2.fastq,256.14
1350,SRR13256646,SRR13256646_1.fastq,210.95
1351,SRR13256646,SRR13256646_2.fastq,270.13
1352,SRR13256647,SRR13256647_1.fastq,158.34
1353,SRR13256647,SRR13256647_2.fastq,208.5
1354,SRR13256648,SRR13256648_1.fastq,179.04
1355,SRR13256648,SRR13256648_2.fastq,206.94
1356,SRR13256649,SRR13256649_1.fastq,240.34
1357,SRR13256649,SRR13256649_2.fastq,266.03
1358,SRR13256650,SRR13256650_1.fastq,223.82
1359,SRR13256650,SRR13256650_2.fastq,252.5
1360,SRR13256651,SRR13256651_1.fastq,231.02
1361,SRR13256651,SRR13256651_2.fastq,256.41
1362,SRR13256652,SRR13256652_1.fastq,219.58
1363,SRR13256652,SRR13256652_2.fastq,245.65
1364,SRR13256653,SRR13256653_1.fastq,246.31
1365,SRR13256653,SRR13256653_2.fastq,269.96
1366,SRR13256654,SRR13256654_1.fastq,233.1
1367,SRR13256654,SRR13256654_2.fastq,258.7
1368,SRR13256655,SRR13256655_1.fastq,210.79
1369,SRR13256655,SRR13256655_2.fastq,231.49
1370,SRR13256656,SRR13256656_1.fastq,236.83
1371,SRR13256656,SRR13256656_2.fastq,258.66
1372,SRR13256657,SRR13256657_1.fastq,212.08
1373,SRR13256657,SRR13256657_2.fastq,233.42
1374,SRR13256658,SRR13256658_1.fastq,192.1
1375,SRR13256658,SRR13256658_2.fastq,266.62
1376,SRR13256659,SRR13256659_1.fastq,210.9
1377,SRR13256659,SRR13256659_2.fastq,232.16
1378,SRR13256660,SRR13256660_1.fastq,236.27
1379,SRR13256660,SRR13256660_2.fastq,257.32
1380,SRR13256661,SRR13256661_1.fastq,212.49
1381,SRR13256661,SRR13256661_2.fastq,230.08
1382,SRR13256662,SRR13256662_1.fastq,221.51
1383,SRR13256662,SRR13256662_2.fastq,238.53
1384,SRR13256663,SRR13256663_1.fastq,147.31
1385,SRR13256663,SRR13256663_2.fastq,189.0
1386,SRR13256664,SRR13256664_1.fastq,220.26
1387,SRR13256664,SRR13256664_2.fastq,239.15
1388,SRR13256665,SRR13256665_1.fastq,223.05
1389,SRR13256665,SRR13256665_2.fastq,244.48
1390,SRR13256666,SRR13256666_1.fastq,239.97
1391,SRR13256666,SRR13256666_2.fastq,260.77
